Date,Guess1,Guess2,Guess3,Guess4,Guess5,Guess6,Score,Average
09-Mar-2022,tread,sixth,booth,mouth,month,,5,5
10-Mar-2022,speat,parse,lapse,,,,3,4
11-Mar-2022,tread,pasty,watch,,,,3,3.67
12-Mar-2022,reast,antic,quota,today,,,4,3.75
13-Mar-2022,reist,skull,bushy,focus,,,4,3.80
14-Mar-2022,reast,islet,smelt,,,,3,3.67
15-Mar-2022,speat,baste,tease,,,,3,3.57
16-Mar-2022,crate,cater,,,,,2,3.38
17-Mar-2022,speat,jewel,dozen,rouge,voice,movie,7,3.78
18-Mar-2022,alist,haste,saute,,,,3,3.70
19-Mar-2022,alist,aloud,allow,,,,3,3.64
20-Mar-2022,chare,outer,greed,rebel,renew,,5,3.75
21-Mar-2022,crate,tiger,their,,,,3,3.69
22-Mar-2022,trine,havoc,ghoul,slosh,,,4,3.71
23-Mar-2022,trine,verve,horde,purge,,,4,3.73
24-Mar-2022,trine,fetal,comet,chest,,,4,3.75
25-Mar-2022,trine,exult,facet,swept,depot,,5,3.82
26-Mar-2022,speat,epoxy,,,,,2,3.72
27-Mar-2022,blate,shuck,hippy,nymph,,,4,3.74
28-Mar-2022,reast,opium,found,,,,3,3.70
30-Mar-2022,trine,agate,stole,stoke,stove,,5,3.76
01-Apr-2022,alist,spout,shout,stout,snout,,5,3.82
02-Apr-2022,trine,trope,,,,,2,3.74
03-Apr-2022,crate,miser,newer,fewer,,,4,3.75
04-Apr-2022,peart,chain,shady,shall,shawl,,5,3.80
05-Apr-2022,trine,aunty,natal,,,,3,3.77
06-Apr-2022,reast,wagon,vocal,comma,,,4,3.78
14-Apr-2022,chare,wince,since,mince,,,4,3.79
